업종,신고번호,상호,우편번호,시설주소(지번),시설주소(도로명),시설부지면적(제곱미터),시설면적(제곱미터),건물연면적(제곱미터),건물구조,지역구분,영업구분,최초등록일자,최근변경일자,민원처리여부,민원처리일자,실내여부,지도자1급,지도자2급,지도자3급,운동시설세부,체육도장업분류여부,체육도장업상세분류,등록기준일
체육도장업,30102-2018-000011,하나태권도,30124,세종특별자치시 다정동 6-7 페스티발1 ,세종특별자치시 다정중앙로 53 페스티발1 5층 507508호 (다정동),,138,,,,영업중,2018-05-01,,해결,2018-05-01,실내,,1,,바닥면적 [제곱미터] : 138,Y,태권도,2022-11-30
체육도장업,30102-2018-000012,교동태권도,30024,세종특별자치시 조치원읍 교리 7-4 ,세종특별자치시 조치원읍 새내18길 30 1층,235,131,395,철골콘크리트조,근린상업지역,영업중,2018-05-03,,해결,2018-05-03,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2018-000013,세종검도관,30037,세종특별자치시 조치원읍 죽림리 210-5 2층 ,세종특별자치시 조치원읍 도장말길 48 2층,374,217,653,철골콘크리트조,주거지역,영업중,2018-06-26,2020-09-01,해결,2020-09-01,실내,,,1,,Y,검도,2022-11-30
체육도장업,30102-2018-000014,아리솔 태권도,30152,세종특별자치시 대평동 63-14 해비치빌딩 ,세종특별자치시 대평로 75 해비치빌딩 4층 401~403호 (대평동),,238,,,,영업중,2018-07-25,,해결,2018-07-25,실내,,1,,바닥면적 [제곱미터] : 238,Y,태권도,2022-11-30
체육도장업,30102-2018-000015,용인대 국가대표 해들 태권도,30153,세종특별자치시 대평동 142-1 판타지타워 ,세종특별자치시 한누리대로 2257 판타지타워 2층 209호 (대평동),,102,,,,영업중,2018-07-31,2021-01-05,해결,2021-01-05,실내,1,,,바닥면적 [제곱미터] : 102,Y,태권도,2022-11-30
체육도장업,30102-2018-000016,연세 백호 태권도,30101,세종특별자치시 고운동 1393 가락마을15단지 ,세종특별자치시 마음안로 190 201202호 (고운동 가락마을15단지),,94,644,철근콘크리트조,일반주거지역,영업중,2018-08-13,2019-12-17,해결,2019-12-17,실내,,1,,바닥면적 [제곱미터] : 94,Y,태권도,2022-11-30
체육도장업,30102-2018-000017,용인대 한빛 태권도,30100,세종특별자치시 도담동 683 도램마을3단지 ,세종특별자치시 다솜1로 184 1층 102호 (도담동 도램마을3단지),,70,,,,영업중,2018-08-23,2020-06-04,해결,2020-06-04,실내,,,1,바닥면적 [제곱미터] : 70,Y,태권도,2022-11-30
체육도장업,30102-2018-000018,세종 익사이팅 복싱,30150,세종특별자치시 보람동 629-2 금남프라자 ,세종특별자치시 호려울로 45 금남프라자 706 707 708호 (보람동),231,,,,,영업중,2018-12-14,,해결,2018-12-14,실내,,1,,바닥면적 [제곱미터] : 231,Y,권투,2022-11-30
체육도장업,30102-2019-000001,글로벌 태권도장,30150,세종특별자치시 보람동 628-7 아리랑빌딩 ,세종특별자치시 남세종로 458 아리랑빌딩 7층 703 704호 (보람동),,163,,,,영업중,2019-01-11,,해결,2019-01-11,실외,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2019-000002,세종 용인대 충무유도관,30063,세종특별자치시 고운동 1719 그랜드프라자 ,세종특별자치시 마음로 74 그랜드프라자 1동 605호 (고운동),1354,167,9074,철근콘크리트조,근린상업지역,영업중,2019-01-23,2020-12-07,해결,2020-12-10,실내,,,1,바닥면적 [제곱미터] : 165,Y,유도,2022-11-30
체육도장업,30102-2019-000003,세종TOP검도관,30127,세종특별자치시 새롬동 341-74 크리스마스빌딩 613호 614호 ,세종특별자치시 새롬중앙로 34 크리스마스빌딩 (새롬동),,236,,,,영업중,2019-03-26,2021-01-05,해결,2021-01-05,실내,,1,,,Y,검도,2022-11-30
체육도장업,30102-2019-000004,타이거태권도장,30063,세종특별자치시 고운동 1729 가락마을1단지 ,세종특별자치시 마음로 67 상가동 2층 220호 (고운동 가락마을1단지),54854,186,3299,철근콘크리트조,일반주거지역,영업중,2019-04-23,,해결,2019-04-23,실내,,,1,바닥면적 [제곱미터] : 186,Y,태권도,2022-11-30
체육도장업,30102-2019-000005,KTI 멘토 태권도장,30124,세종특별자치시 다정동 38-4 가온마을1단지 ,세종특별자치시 다정남로 22 1층 107108호 (다정동 가온마을1단지),,,,,,영업중,2019-06-17,2019-11-07,해결,2019-11-07,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2019-000006,경희대 금강태권도,30146,세종특별자치시 반곡동 45-14 시드니블루 ,세종특별자치시 한누리대로 1828 시드니블루 209210호 (반곡동),3181,149,,철근콘크리트조,일반상업지역,영업중,2019-10-22,2020-02-11,해결,2020-02-11,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2019-000007,히트복싱,30127,세종특별자치시 새롬동 산 6 세종영광프라자 ,세종특별자치시 새롬중앙로 64 세종영광프라자 405호 (새롬동),,228,,철근콘크리트조,근린상업지역,영업중,2019-11-01,,해결,2019-11-01,실내,,1,,,Y,권투,2022-11-30
체육도장업,30102-2019-000008,Dream of Judo 세종유도관,30100,세종특별자치시 아름동 1296 해피라움1 ,세종특별자치시 보듬3로 100 해피라움1 304305호 (아름동),2088,198,13297,철근콘크리트조,근린상업지역,영업중,2019-11-26,,해결,2019-11-26,실내,,1,,바닥면적 [제곱미터] : 198,Y,유도,2022-11-30
체육도장업,30102-2020-000001,무적합기도전문체육관,30001,세종특별자치시 소정면 소정리 52-4 ,세종특별자치시 소정면 소정구길 196,328,196,196,경량철골조,,영업중,2020-02-11,,해결,2020-02-11,실내,,1,,,Y,합기도,2022-11-30
체육도장업,30102-2020-000002,화랑합기도,30031,세종특별자치시 조치원읍 신흥리 172-4 2층 ,세종특별자치시 조치원읍 도원2로 39 2층,813,188,,철골조,일반주거지역,영업중,2020-02-27,,해결,2020-02-27,실외,,,,,Y,합기도,2022-11-30
체육도장업,30102-2020-000003,세종 합기도 천지관,30123,세종특별자치시 다정동 938 리치타워 ,세종특별자치시 다정중앙로 40 리치타워 501호 (다정동),,92,,,,영업중,2020-03-03,2021-08-24,해결,2021-08-24,실내,,,,바닥면적 [제곱미터] : 168,Y,합기도,2022-11-30
체육도장업,30102-2020-000004,몬스터 합기도 주짓수,30062,세종특별자치시 고운동 1376 테라스 힐 빌딩 ,세종특별자치시 마음로 272-11 테라스 힐 빌딩 4층 401호 (고운동),,133,1355,,,영업중,2020-03-04,,해결,2020-03-04,실내,,1,,바닥면적 [제곱미터] : 133,Y,합기도,2022-11-30
체육도장업,30102-2020-000005,원앙태권도,30001,세종특별자치시 소정면 소정리 196-10 ,세종특별자치시 소정면 소정구길 169 3층,,125,1304,,,영업중,1999-11-04,2020-03-13,해결,2020-03-13,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2020-000006,합기도 천지관 충효체육관,30063,세종특별자치시 고운동 1720 에셀프라자 ,세종특별자치시 마음로 70 에셀프라자 607호 (고운동),1408,889,9996,철근콘크리트조,근린상업지역,영업중,2020-03-27,,해결,2020-03-27,실외,,,1,,Y,합기도,2022-11-30
체육도장업,30102-2020-000007,금메달 태권도,30124,세종특별자치시 다정동 7-3 더다정빌딩 ,세종특별자치시 다정중앙로 51 더다정빌딩 605호 (다정동),,115,,,,영업중,2020-04-10,,해결,2020-04-10,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2020-000008,용인대 성민 태권도(반곡관),30146,세종특별자치시 반곡동 49-14 왕관빌딩 ,세종특별자치시 한누리대로 1820 왕관빌딩 212213호 (반곡동),,167,,철근콘크리트조,상업지역,영업중,2020-04-17,2020-09-03,해결,2020-09-03,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2020-000009,흑추관 슈퍼K 합기도스쿨,30100,세종특별자치시 아름동 1316 송남빌딩 ,세종특별자치시 보듬3로 154 송남빌딩 4층 402호 (아름동),442,248,7237,철근콘크리트조,근린상업지역,영업중,2020-04-17,2020-05-06,해결,2020-05-06,실내,,,,바닥면적 [제곱미터] : 248,Y,합기도,2022-11-30
체육도장업,30102-2020-000010,글로벌태권도장 소담관,30148,세종특별자치시 소담동 산 7 레전드타워 ,세종특별자치시 소담로 70 레전드타워 406호 (소담동),,149,,,,영업중,2020-05-21,2021-02-17,해결,2021-02-17,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2020-000011,신화합기도,30150,세종특별자치시 보람동 628-7 강남제일타워 ,세종특별자치시 남세종로 454 강남제일타워 704-2705호 (보람동),,,,,,영업중,2020-06-15,2020-06-18,해결,2020-06-18,실내,,,,바닥면적 [제곱미터] : 50,Y,합기도,2022-11-30
체육도장업,30102-2020-000012,부강 합기도,30075,세종특별자치시 부강면 부강리 439-2 하나로마트 ,세종특별자치시 부강면 부강로 32 하나로마트 2층,,82,,,,영업중,2020-06-25,,해결,2020-06-25,실내,,,,,Y,합기도,2022-11-30
체육도장업,30102-2020-000013,신화합기도 소담관,30150,세종특별자치시 소담동 9-169 지엘플렉스2 ,세종특별자치시 소담1로 16 지엘플렉스2 303호 (소담동),,101,,,,영업중,2020-06-25,,해결,2020-06-25,실내,,,,,Y,합기도,2022-11-30
체육도장업,30102-2020-000014,다정 MBA 태권도(2관),30124,세종특별자치시 다정동 9-3 다정센터프라자2 ,세종특별자치시 다정중앙로 39 다정센터프라자2 608~609호 (다정동),,148,,,,영업중,2020-06-30,2021-08-17,해결,2021-08-17,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2020-000015,용술관 백인 합기도,30100,세종특별자치시 아름동 1296 해피라움1 ,세종특별자치시 보듬3로 100 해피라움1 1동 208호 (아름동),,96,,철근콘크리트조,근린상업지역,영업중,2020-07-08,,해결,2020-07-08,실내,,1,,바닥면적 [제곱미터] : 96,Y,합기도,2022-11-30
체육도장업,30102-2020-000016,김정완 챔피언짐,30083,세종특별자치시 금남면 용포리 193-34 ,세종특별자치시 금남면 용포로 80 3층,221,176,761,철근콘크리트조,일반상업지역,영업중,2020-09-23,,해결,2020-09-23,실내,,1,,바닥면적 [제곱미터] : 176,Y,권투,2022-11-30
체육도장업,30102-2020-000017,세종 김진 검도관,30150,세종특별자치시 보람동 628-7 아리랑빌딩 ,세종특별자치시 남세종로 458 아리랑빌딩 201202호 (보람동),,191,7979,철근콘크리트조,일반상업지역,영업중,2020-10-22,,해결,2020-10-22,실내,,1,,,Y,검도,2022-11-30
체육도장업,30102-2020-000018,세종의 아침 태권도 해밀관,30092,세종특별자치시 해밀동 산 8 해밀마을1단지 ,세종특별자치시 해밀3로 32 127호 (해밀동 해밀마을1단지),,,3636,철근콘크리트조,,영업중,2020-10-30,,해결,2020-10-30,실내,,,1,바닥면적 [제곱미터] : 75,Y,태권도,2022-11-30
체육도장업,30102-2021-000001,운동과학연구센터,30147,세종특별자치시 반곡동 308 알파타워 ,세종특별자치시 국책연구원2로 18 알파타워 609~611호 (반곡동),1399,248,12655,철근콘크리트조,,영업중,2021-03-02,,해결,2021-03-02,실내,,1,,바닥면적 [제곱미터] : 248,Y,태권도,2022-11-30
체육도장업,30102-2021-000002,명품합기도,30098,세종특별자치시 도담동 653 도램마을11단지 ,세종특별자치시 보듬4로 9 1920호 (도담동 도램마을11단지),,181,,,,영업중,2021-04-19,,해결,2021-04-19,실내,,,,,Y,합기도,2022-11-30
체육도장업,30102-2021-000003,YG BOXING짐,30151,세종특별자치시 소담동 543 사이언스타운 ,세종특별자치시 한누리대로 2018 사이언스타운 204~206호 (소담동),1519,273,10337,철근콘크리트조,일반상업지역,영업중,2021-04-27,2021-06-16,해결,2021-06-16,실내,,1,,바닥면적 [제곱미터] : 273,Y,권투,2022-11-30
체육도장업,30102-2021-000004,세종복싱 나성점,30128,세종특별자치시 나성동 800 센트럴타워 ,세종특별자치시 나성북로 21 센트럴타워 10031004호 (나성동),1628,280,13431,철근콘크리트조,중심상업지역,영업중,2021-05-06,,해결,2021-05-06,실내,,1,,,Y,권투,2022-11-30
체육도장업,30102-2021-000005,히트유도관,30127,세종특별자치시 새롬동 574 크리스마스빌딩 ,세종특별자치시 새롬중앙로 34 크리스마스빌딩 418호 (새롬동),4700,124,29900,철근콘크리트조,근린상업지역,영업중,2021-05-10,,해결,2021-05-10,실내,,1,,,Y,유도,2022-11-30
체육도장업,30102-2021-000006,세종의 아침 태권도(나성관),30128,세종특별자치시 나성동 800 센트럴타워 ,세종특별자치시 나성북로 21 센트럴타워 504호 (나성동),1628,182,13431,철근콘크리트조,중심상업지역,영업중,2021-07-01,,해결,2021-07-01,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2021-000007,금강태권도,30128,세종특별자치시 나성동 384 더센트럴 ,세종특별자치시 나성로 96 더센트럴 501호 (나성동),9127,189,49678,철근콘크리트조,,영업중,2021-07-15,,해결,2021-07-15,실외,,1,,,Y,태권도,2022-11-30
,30103-2004-000001,현대당구장,,세종특별자치시 부강면 부강리 469-0 ,세종특별자치시 부강면 부강5길 9,0,0,0,,,영업중,2004-09-04,2018-03-07,해결,2018-03-09,실내,0,0,0,,Y,,2022-11-30
골프연습장업,30105-1993-000001,홍익대학교 골프연습장,,세종특별자치시 조치원읍 신안리 254-4 ,세종특별자치시 조치원읍 금이로 53-14,,3427,3427,,,영업중,1993-11-16,2019-10-23,해결,2019-10-23,실외,,,,,Y,,2022-11-30
골프연습장업,30105-2002-000001,세종에머슨(주),,세종특별자치시 전의면 유천리 216-1 ,세종특별자치시 전의면 운주산로 1510,,6129,,,,영업중,2002-09-24,2019-04-23,해결,2019-04-23,실외,,,,,Y,,2022-11-30
골프연습장업,30105-2003-000001,T골프 & AD,30027,세종특별자치시 조치원읍,세종특별자치시 조치원읍 새내8길 22-13 102동 B05 B07 B08 B09호,,267,407,철골콘크리트조,근린상업지역,영업중,2003-03-10,2019-04-02,해결,2019-04-02,실외,,,,타석수 [석] : 5,Y,,2022-11-30
골프연습장업,30105-2003-000002,문화골프클럽,,세종특별자치시 조치원읍 서창리 48-1 ,세종특별자치시 조치원읍 새내로 223-1,9880,1312,1312,철골조,자연녹지지역,영업중,2003-10-17,2003-10-17,해결,2003-10-17,실외,,,2,타석수 [석] : 38,Y,,2022-11-30
골프연습장업,30105-2008-000001,시원 스크린 골프연습장,30031,세종특별자치시 조치원읍 신흥리 228-1 세종메디컬프라자 ,세종특별자치시 조치원읍 대첩로 75 세종메디컬프라자,2254,641,6614,철골콘크리트조,일반주거지역,영업중,2008-10-23,2018-03-07,해결,2018-03-07,실내,,,1,타석수 [석] : 12,Y,,2022-11-30
골프연습장업,30105-2010-000001,에이스 스크린,,세종특별자치시 부강면 부강리 418-9 2층 ,세종특별자치시 부강면 부강로 41 (2층),656,290,1173,철골조,일반주거지역,영업중,2010-07-14,,해결,2010-07-14,실내,0,0,0,타석수 [석] : 5,Y,,2022-11-30
골프연습장업,30105-2011-000002,스카이 스크린골프,30034,세종특별자치시 조치원읍 죽림리 102 조치원GR빌딩 301호,세종특별자치시 조치원읍 군청로 86 조치원GR빌딩 3층 301호,503,281,,철골콘크리트조,근린상업지역,영업중,2011-12-08,2021-05-10,해결,2021-05-10,실내,,,,타석수 [석] : 4,Y,,2022-11-30
골프연습장업,30105-2012-000001,굿샷스크린골프존,30020,세종특별자치시 조치원읍 침산리 276-2 ,세종특별자치시 조치원읍 문화2길 66,678,403,403,경량철골조,일반주거지역,영업중,2012-04-20,2019-01-16,해결,2019-01-16,실내,,,,타석수 [석] : 7,Y,,2022-11-30
골프연습장업,30105-2012-000002,버디스크린골프,30018,세종특별자치시 조치원읍 서창리 73-3 ,세종특별자치시 조치원읍 충현로 214,1017,403,403,철근콘크리트조,자연녹지지역,영업중,2012-10-19,,해결,2017-08-17,실내,,,,타석수 [석] : 7,Y,,2022-11-30
골프연습장업,30105-2014-000002,세종 골프존 파크,30064,세종특별자치시 종촌동 658 메디케어빌딩 ,세종특별자치시 도움3로 105-7 메디케어빌딩 8층 801호 (종촌동),,416,,,,영업중,2014-07-07,2019-03-28,해결,2019-03-28,실내,,,,타석수 [석] : 6,Y,,2022-11-30
골프연습장업,30105-2014-000003,캘러웨이 스크린골프 세종점,30055,세종특별자치시 장군면 봉안리 40-6 ,세종특별자치시 장군면 장기로 875 2동 201호,,628,,,,영업중,2014-08-21,,해결,2014-08-21,실내,,,,타석수 [석] : 15,Y,,2022-11-30
골프연습장업,30105-2015-000001,가장 죤 T-UP 스크린골프,30100,세종특별자치시 도담동 257 ,세종특별자치시 한누리대로 589 701호 (도담동),,315,,,,영업중,2015-06-09,2020-06-24,해결,2020-06-24,실내,,,,타석수 [석] : 5,Y,,2022-11-30
골프연습장업,30105-2015-000002,닥터강 스크린골프연습장,30100,세종특별자치시 아름동 98 ,세종특별자치시 보듬3로 95 707-12 708호 (아름동 해피라움3),,271,,,,영업중,2015-11-16,2017-05-11,해결,2017-05-11,실내,,,,타석수 [석] : 11,Y,,2022-11-30
골프연습장업,30105-2016-000002,세종아름 스크린골프,30100,세종특별자치시 아름동,세종특별자치시 보듬3로 143 701~703호 (아름동 대영프라자),,372,,철근콘크리트조,일반상업지역,영업중,2016-05-23,2018-12-06,해결,2018-12-06,실내,,,,타석수 [석] : 6,Y,,2022-11-30
골프연습장업,30105-2016-000003,SG골프,30021,세종특별자치시 조치원읍,세종특별자치시 조치원읍 행복3길 3,791,473,473,철골조,근린상업지역,영업중,2016-06-20,,해결,2016-06-20,실내,,,,타석수 [석] : 9,Y,,2022-11-30
골프연습장업,30105-2016-000004,비주얼 골프연습장,30103,세종특별자치시 어진동 547 중앙타운 ,세종특별자치시 절재로 194 810811호 (어진동 중앙타운),,274,,,,영업중,2016-07-28,,해결,2016-07-28,실내,,,,타석수 [석] : 9,Y,,2022-11-30
골프연습장업,30105-2016-000005,주식회사 제이제이 컴퍼니,30055,세종특별자치시 장군면 봉안리 ,세종특별자치시 장군면 소미길 17-11,3561,304,1560,철골조,관리지역,영업중,2016-08-19,,해결,2016-08-19,실내,,,,타석수 [석] : 7,Y,,2022-11-30
골프연습장업,30105-2016-000006,프리미엄 골프,30055,세종특별자치시 장군면 봉안리 ,세종특별자치시 장군면 소미길 17-11 2동 2층 (201호 202호),3561,304,1560,철골조,관리지역,영업중,2016-08-19,,해결,2016-08-19,실내,,,,타석수 [석] : 5,Y,,2022-11-30
골프연습장업,30105-2016-000007,메가골프존파크,30128,세종특별자치시 나성동 361-190 ,세종특별자치시 나성북로 9 506507508호 (나성동 메가타워1),,315,13436,철골콘크리트조,중심상업지역,영업중,2016-11-21,2017-01-10,해결,2017-01-10,실내,,,,타석수 [석] : 7,Y,,2022-11-30
골프연습장업,30105-2016-000008,장군스크린골프,30053,세종특별자치시 장군면 도계리 276-36 ,세종특별자치시 장군면 무넘이길 14-13 1층,,396,,경량철골조,관리지역,영업중,2016-12-16,,,,실내,,,,타석수 [석] : 7,Y,,2022-11-30
골프연습장업,30105-2017-000001,메가 골프 연습장,30128,세종특별자치시 나성동 361-190 ,세종특별자치시 나성북로 9 505호 (나성동 메가타워1),245,123,,철골콘크리트조,중심상업지역,영업중,2017-01-05,,해결,2017-01-05,실내,,,,타석수 [석] : 5,Y,,2022-11-30
골프연습장업,30105-2017-000003,캘러웨이 스크린 골프 세종시청점,30150,세종특별자치시 보람동 747 세종시드니 ,세종특별자치시 호려울로 29 세종시드니 701-2703~707호 (보람동),,878,,철골콘크리트조,일반상업지역,영업중,2017-04-04,2021-05-17,해결,2021-05-17,실내,,,,,Y,,2022-11-30
골프연습장업,30105-2017-000004,강남 스크린 골프존,30062,세종특별자치시 고운동 1375 801호,세종특별자치시 마음로 272-9 8층 801호 (고운동 강남빌딩),1069,746,7872,철골콘크리트조,근린상업지역,영업중,2017-06-07,2020-11-17,해결,2020-11-18,실외,,,,타석수 [석] : 5,Y,,2022-11-30
골프연습장업,30105-2017-000005,동남골프클럽,30047,세종특별자치시 연서면,세종특별자치시 연서면 당산로 342 지하1층,160,,,철골콘크리트조,,영업중,2017-07-13,,해결,2017-07-13,실내,,,,타석수 [석] : 5,Y,,2022-11-30
골프연습장업,30105-2017-000006,김프로 골프 크리닉,30127,세종특별자치시 새롬동 산 19 ,세종특별자치시 새롬중앙로 62-15 6층 609~611호 (새롬동 해피라움W),,263,,철근콘크리트조,근린상업지역,영업중,2017-08-03,,해결,2017-08-03,실내,,,,타석수 [석] : 9,Y,,2022-11-30
골프연습장업,30105-2017-000007,황제스크린골프,30100,세종특별자치시 아름동 1330 ,세종특별자치시 아름서1길 13-12 302303304호 (아름동 세종제이디빌딩),1382,347,7559,철골콘크리트조,일반상업지역,영업중,2017-08-04,2021-04-07,해결,2021-04-13,실내,,,,타석수 [석] : 6,Y,,2022-11-30
골프연습장업,30105-2017-000008,(주)제이골프존파크,30128,세종특별자치시 나성동 789 제이빌딩 ,세종특별자치시 나성북1로 18 제이빌딩 89층 801~808 901~908호 (나성동),,1375,,철골콘크리트조,중심상업지역,영업중,2017-08-08,2020-01-28,해결,2020-01-28,실내,,,1,,Y,,2022-11-30
골프연습장업,30105-2017-000009,세종필드골프센터,30090,세종특별자치시 해밀동 644 세종필드골프센터 ,세종특별자치시 눌왕새터말길 3,1303,1303,2405,철골콘크리트조,자연녹지지역,영업중,2017-10-10,,해결,2017-10-10,실외,,1,1,타석수 [석] : 58,Y,,2022-11-30
골프연습장업,30105-2017-000010,캘러웨이 스크린골프 나성동 스타타워점,30128,세종특별자치시 나성동 361-37 스타타워 ,세종특별자치시 나성로 125-16 9층 902903904905호 (나성동),,453,,철골콘크리트조,중심상업지역,영업중,2017-10-24,,해결,2017-10-24,실내,0,,,타석수 [석] : 15,Y,,2022-11-30
골프연습장업,30105-2017-000011,금강 스크린(골프 연습장),30057,세종특별자치시 연기면 수산리 85 ,세종특별자치시 연기면 조뱅이길 24-17,511,511,,철골콘크리트조,관리지역,영업중,2017-12-06,,해결,2017-12-06,실내,,,,,Y,,2022-11-30
골프연습장업,30105-2018-000002,GDR아카데미 세종나성점,30128,세종특별자치시 나성동 789 제이빌딩 ,세종특별자치시 나성북1로 18 제이빌딩 7층 701~708호 (나성동),,679,,,,영업중,2018-09-06,2020-06-23,해결,2020-06-23,실내,,,,타석수 [석] : 18,Y,,2022-11-30
골프연습장업,30105-2018-000003,H 골프연습장,30128,세종특별자치시 나성동 798 메가타워1 ,세종특별자치시 나성북로 9 메가타워1 10층 1002호 (나성동),,,,,,영업중,2018-10-16,2020-06-17,해결,2020-06-17,실내,,,,타석수 [석] : 2,Y,,2022-11-30
골프연습장업,30105-2018-000004,나사 스크린골프,30147,세종특별자치시 반곡동 308 알파타워 ,세종특별자치시 국책연구원2로 18 알파타워 401~412호(405408호제외)호 (반곡동),,762,,,,영업중,2018-12-20,2021-06-10,해결,2021-06-10,실내,,,,타석수 [석] : 13,Y,,2022-11-30
골프연습장업,30105-2019-000001,이성용의 골프서당,30062,세종특별자치시 고운동 1372 고운메디프라자 ,세종특별자치시 마음로 272-4 고운메디프라자 802803804호 (고운동),1028,334,7241,철근콘크리트조,근린상업지역,영업중,2019-04-17,2020-07-24,해결,2020-07-24,실내,,,,타석수 [석] : 10,Y,,2022-11-30
골프연습장업,30105-2019-000002,메가골프존파크,30152,세종특별자치시 대평동 566-5 태양빌딩 ,세종특별자치시 대평로 87 태양빌딩 703704705호 (대평동),,338,,,,영업중,2019-07-05,,해결,2019-07-05,실내,,,,타석수 [석] : 6,Y,,2022-11-30
골프연습장업,30105-2019-000003,JW골프아카데미,30148,세종특별자치시 소담동 35-4 거북선1 ,세종특별자치시 법원2로 12 거북선1 603~607호 (소담동),,292,,,,영업중,2019-08-29,,해결,2019-08-29,실내,,,,,Y,,2022-11-30
골프연습장업,30105-2020-000001,소담 메가골프존 파크,30148,세종특별자치시 소담동 35-4 거북선1 ,세종특별자치시 법원2로 12 거북선1 408-413호 (소담동),,356,14172,철근콘크리트조,,영업중,2020-01-13,,해결,2020-01-13,실내,,,,타석수 [석] : 7,Y,,2022-11-30
골프연습장업,30105-2020-000002,스마트골프아카데미 명학점,30067,세종특별자치시 연동면 응암리 911 ,세종특별자치시 연동면 명학산단로 4 209호,,199,6369,,,영업중,2020-01-20,,해결,2020-01-20,실내,,,,타석수 [석] : 3,Y,,2022-11-30
골프연습장업,30105-2020-000003,도화스크린골프,30049,세종특별자치시 연서면 월하리 1017 ,세종특별자치시 연서면 대첩로 209,,389,389,철골조,일반주거지역,영업중,2020-02-06,,해결,2020-02-06,실외,,,,,Y,,2022-11-30
골프연습장업,30105-2020-000004,friends screen,30152,세종특별자치시 대평동 63-12 센트럴테라스 ,세종특별자치시 대평4길 17 센트럴테라스 210~213호 (대평동),,313,,,,영업중,2020-06-26,2020-07-07,해결,2020-07-07,실내,,,,타석수 [석] : 9,Y,,2022-11-30
골프연습장업,30105-2021-000001,스윙티처,30127,세종특별자치시 새롬동 574 크리스마스빌딩 5112호,세종특별자치시 새롬중앙로 34 크리스마스빌딩 511 512호 (새롬동),4700,228,29900,철근콘크리트조,근린상업지역,영업중,2021-08-24,,해결,2021-08-24,실내,,1,,타석수 [석] : 6,Y,,2022-11-30
체력단련장업,30106-1998-000001,해성스포츠,30021,세종특별자치시 조치원읍 침산리 253-3 ,세종특별자치시 조치원읍 행복5길 27-3,223,223,,철골콘크리트조,일반주거지역,영업중,1998-12-21,2004-01-31,해결,2004-01-31,실외,,,,,Y,,2022-11-30
체력단련장업,30106-2000-000001,다이나포스헬스클럽,30004,세종특별자치시 전의면 읍내리 251-2 ,세종특별자치시 전의면 만세길 5,,123,2082,철골콘크리트조,상업지역,영업중,2000-10-01,2020-02-24,해결,2020-02-24,실외,,,,,Y,,2022-11-30
체력단련장업,30106-2001-000001,대도헬스피아,,세종특별자치시 조치원읍 원리 2-10 대도빌딩 3층4층 ,세종특별자치시 조치원읍 조치원5길 12-19  (대도빌딩 3층4층),358,484,1217,철골콘크리트조,상업지역,영업중,2001-10-01,2013-05-03,해결,2013-05-03,실내,,,2,바닥면적 [제곱미터] : 484,Y,,2022-11-30
체력단련장업,30106-2002-000001,송도헬스클럽,,세종특별자치시 연서면 봉암리 215-7 2층 ,세종특별자치시 연서면 봉암길 150  (2층),,184,645,철골콘크리트조,,영업중,2002-10-01,2002-10-01,,,실외,,,,,Y,,2022-11-30
체력단련장업,30106-2004-000002,굿모닝 휘트니스클럽,30076,세종특별자치시 부강면 부강리 420 ,세종특별자치시 부강면 부강로 47 3층,1561,240,1916,,,영업중,2004-01-03,2013-10-17,해결,2013-10-17,실내,0,0,3,바닥면적 [제곱미터] : 639,Y,,2022-11-30
체력단련장업,30106-2005-000001,금강스포츠랜드,,세종특별자치시 금남면 부용리 83-3 ,세종특별자치시 금남면 금병로 1131,,231,,,,영업중,2005-06-21,2006-07-26,해결,2006-07-26,실외,,,,,Y,,2022-11-30
체력단련장업,30106-2005-000002,02 Life S C 헬스,,세종특별자치시 조치원읍 남리 391 ,세종특별자치시 조치원읍 새내2길 78,,237,,,,영업중,2005-10-11,2010-12-16,해결,2010-12-16,실외,,,,,Y,,2022-11-30
체력단련장업,30106-2007-000001,효명레저산업(주),,세종특별자치시 부강면 문곡리 440-11 ,세종특별자치시 부강면 부강외천로 254-29,0,368,0,,관리지역,영업중,2007-08-20,2007-08-20,해결,2007-08-20,실외,,,,,Y,,2022-11-30
체력단련장업,30106-2009-000001,중앙휘트니스센터,30035,세종특별자치시 조치원읍 남리 359 ,세종특별자치시 조치원읍 새내2길 38 목화빌딩 3층,476,281,1598,철골콘크리트조,일반주거지역,영업중,2009-02-16,2019-02-28,해결,2019-02-28,실내,0,0,1,바닥면적 [제곱미터] : 281,Y,,2022-11-30
