업종,신고번호,상호,우편번호,시설주소(지번),시설주소(도로명),시설부지면적(제곱미터),시설면적(제곱미터),건물연면적(제곱미터),건물구조,지역구분,영업구분,최초등록일자,최근변경일자,민원처리여부,민원처리일자,실내여부,지도자1급,지도자2급,지도자3급,운동시설세부,체육도장업분류여부,체육도장업상세분류,등록기준일
체육도장업,30102-2014-000008,용인대 성민 태권도,30100,세종특별자치시 아름동 1293 ,세종특별자치시 보듬3로 92 5층 (아름동 해피라움2),3220,251,20440,,,영업중,2014-10-13,2017-07-12,해결,2017-07-12,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2014-000009,세종의 아침 태권도,30064,세종특별자치시 종촌동 151-107 ,세종특별자치시 달빛로 59 801802호 (종촌동),,166,,,,영업중,2014-11-06,,해결,2014-11-06,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2015-000001,도담 꿈의 태권도장,30098,세종특별자치시 도담동 381 ,세종특별자치시 보듬2로 43 2층 201202203호 (도담동 현대힐스테이트상가동),,135,,,,영업중,2015-01-28,,해결,2015-01-28,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2015-000002,BOK 태권도,30098,세종특별자치시 도담동 산 56 ,세종특별자치시 보듬8로 39 (도담동),,,,,,영업중,2015-02-09,2020-03-31,해결,2020-03-31,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2015-000003,경희대 차울 태권도,30064,세종특별자치시 종촌동 151-87 ,세종특별자치시 도움3로 105-5 7층 705706호 (종촌동 종촌중앙프라자),,153,,,,영업중,2015-02-24,,해결,2015-02-24,실내,,,1,바닥면적 [제곱미터] : 153,Y,태권도,2022-11-30
체육도장업,30102-2015-000004,드림인성태권도,30063,세종특별자치시 고운동 1722 에이스프라자 ,세종특별자치시 고운서길 13 에이스프라자 501502호 (고운동),,,,,,영업중,2015-03-09,,해결,2015-03-09,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2015-000007,세종의 아침 태권도,30098,세종특별자치시 도담동 653 도램마을11단지 ,세종특별자치시 보듬4로 9 17~18호 (도담동 도램마을11단지),,221,,,,영업중,2015-04-27,2021-04-16,해결,2021-04-19,실내,,1,1,바닥면적 [제곱미터] : 324,Y,태권도,2022-11-30
체육도장업,30102-2015-000008,국가대표 태권도,30064,세종특별자치시 종촌동 산 6 ,세종특별자치시 도움3로 159 B01호 (종촌동),,164,,,,영업중,2015-05-29,,해결,2015-05-29,실내,,1,1,바닥면적 [제곱미터] : 164,Y,태권도,2022-11-30
체육도장업,30102-2015-000009,세종 스포츠 스쿨,30100,세종특별자치시 아름동 산 39 ,세종특별자치시 보듬3로 92 510호 (아름동),,117,,,,영업중,2015-06-03,2015-11-05,해결,2015-11-05,실내,,,1,바닥면적 [제곱미터] : 117,Y,레슬링,2022-11-30
체육도장업,30102-2015-000010,경희대태권도,30130,세종특별자치시 나성동 723 금강프라자 ,세종특별자치시 한누리대로 157 금강프라자 207호 (나성동),,96,,,,영업중,2015-06-20,2017-03-06,해결,2017-03-06,실내,,,1,바닥면적 [제곱미터] : 96,Y,태권도,2022-11-30
체육도장업,30102-2015-000011,용인대 대덕태권도(첫마을관),30130,세종특별자치시 나성동 715 우빈가온 ,세종특별자치시 한누리대로 201 우빈가온 208209호 (나성동),,229,,,,영업중,2015-06-25,2021-08-11,해결,2021-08-11,실내,,,1,,Y,태권도,2022-11-30
